model,run,synthesis,historical,rcp26,rcp45,rcp60,rcp85
GISS-E2-H,r1i1p2,0,-,-,-,-,-
GISS-E2-H,r1i1p3,0,-,-,-,-,-
GISS-E2-H,r2i1p1,0,-,,-,,-
GISS-E2-H,r2i1p2,0,-,,-,,
GISS-E2-H,r2i1p3,0,-,,-,,-
GISS-E2-H,r3i1p1,0,-,,-,,
GISS-E2-H,r3i1p2,0,-,,-,,
GISS-E2-H,r3i1p3,0,-,,-,,
GISS-E2-H,r4i1p1,0,-,,-,,
GISS-E2-H,r4i1p2,0,-,,-,,
GISS-E2-H,r4i1p3,0,-,,-,,
GISS-E2-H,r5i1p1,0,-,,-,,
GISS-E2-H,r5i1p2,0,-,,-,,
GISS-E2-H,r5i1p3,0,-,,-,,
GISS-E2-H,r6i1p1,0,3Dml,,,,
GISS-E2-H,r6i1p2,0,-,,,,
GISS-E2-H,r6i1p3,0,Basic,,-,,
GISS-E2-R-CC,r1i1p1,0,-,,-,,-
GISS-E2-R,r1i1p1,0,-,-,-,-,-
GISS-E2-R,r1i1p2,0,-,-,-,-,-
GISS-E2-R,r1i1p3,0,-,-,-,-,-
GISS-E2-R,r1i1p121,0,-,,,,
GISS-E2-R,r1i1p124,0,-,,,,
GISS-E2-R,r1i1p125,0,-,,,,
GISS-E2-R,r1i1p126,0,-,,,,
GISS-E2-R,r1i1p127,0,-,,,,
GISS-E2-R,r1i1p128,0,-,,,,
GISS-E2-R,r2i1p1,0,-,,-,,-
GISS-E2-R,r2i1p2,0,-,,-,,
GISS-E2-R,r2i1p3,0,-,,-,,-
GISS-E2-R,r3i1p1,0,-,,-,,
GISS-E2-R,r3i1p2,0,-,,-,,
GISS-E2-R,r3i1p3,0,-,,-,,
GISS-E2-R,r4i1p1,0,-,,-,,
GISS-E2-R,r4i1p2,0,-,,-,,
GISS-E2-R,r4i1p3,0,-,,-,,
GISS-E2-R,r5i1p1,0,-,,-,,
GISS-E2-R,r5i1p2,0,-,,-,,
GISS-E2-R,r5i1p3,0,-,,-,,
GISS-E2-R,r6i1p1,0,3Dml,,3Dml,,
GISS-E2-R,r6i1p2,0,AORCM,,,,
GISS-E2-R,r6i1p3,0,AORCM,,AORCM,,
HadCM3,r1i1p1,0,Basic,,Basic,,
HadCM3,r2i1p1,0,Basic,,Basic,,
HadCM3,r3i1p1,0,Basic,,Basic,,
HadCM3,r4i1p1,0,Basic,,Basic,,
HadCM3,r5i1p1,0,Basic,,Basic,,
HadCM3,r6i1p1,0,Basic,,Basic,,
HadCM3,r7i1p1,0,Basic,,Basic,,
HadCM3,r8i1p1,0,Basic,,Basic,,
HadCM3,r9i1p1,0,Basic,,Basic,,
HadCM3,r10i1p1,0,Basic,,Basic,,
HadGEM2-CC,r1i1p1,0,ESD,,ESD,,ESD
HadGEM2-CC,r2i1p1,0,ESD,,,,ESD
