model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
MPI-ESM1-2-LR,r31i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r32i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r33i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r34i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r35i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r36i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r37i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r38i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r39i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r40i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r41i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r42i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r43i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r44i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r45i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r46i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r47i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r48i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r49i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM1-2-LR,r50i1p1f1,1,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM
MPI-ESM-1-2-HAM,r1i1p1f1,,AORCM,,,,AORCM,
MPI-ESM-1-2-HAM,r2i1p1f1,,AORCM,,,,AORCM,
MPI-ESM-1-2-HAM,r3i1p1f1,,AORCM,,,,AORCM,
NorESM2-LM,r1i1p1f1,,AORCM,,ESD,AORCM,ESD,ESD
TaiESM1,r1i1p1f1,1,AORCM,,AORCM,AORCM,AORCM,AORCM
UKESM1-0-LL,r1i1p1f2,1,AORCM,ESD,AORCM,AORCM,AORCM,AORCM
UKESM1-0-LL,r2i1p1f2,1,AORCM,ESD,AORCM,AORCM,AORCM,AORCM
UKESM1-0-LL,r3i1p1f2,1,AORCM,ESD,AORCM,AORCM,AORCM,AORCM
