,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CESM2,r11i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,2.06,0.02,,0.00,2.06,,,,bc dust oa so4,,,100.00
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.05,,,,2.05,,5.14,,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,1,1.98,0.01,,0.00,1.98,1.72,4.75,CESM,bc dust oa so4,,365_day,100.00
CESM2-WACCM,r2i1p1f1,0.00,ESD,,,ESD,Basic,Basic,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM,r3i1p1f1,0.00,ESD,,,ESD,Basic,ESD,,,,,,,,,,bc dust oa so4,,,
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.01,,,,2.01,,4.79,,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,2.39,,,0.00,2.39,1.69,,,,,365_day,100.00
CMCC-CM2-SR5,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,2.09,,0.75,0.00,2.09,1.58,3.52,,,,365_day,100.00
CMCC-ESM2,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,,,,0.00,,1.64,,,,,365_day,100.00
CMCC-ESM2,r1i1p1f2,,,,,,,,0,,,0.75,,,,,,,,,
CNRM-CM6-1,r1i1p1f1,,,,,,,,0,,,0.79,,,,,,,,gregorian,
CNRM-CM6-1,r1i1p1f2,0.00,AORCM,,AORCM,ESD,ESD,AORCM,0,2.14,0.02,,1.00,2.14,1.82,4.83,CNRM,bc dust oa so4 ss,2222101100.00,,150.00
CNRM-CM6-1,r2i1p1f2,0.00,AORCM,,-,-,ESD,-,0,,0.02,,1.00,,1.82,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r3i1p1f2,0.00,AORCM,,-,-,ESD,-,0,,0.02,,1.00,,1.81,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,1.83,,CNRM,,,,
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,1.82,,CNRM,,,,
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,1.79,,CNRM,,,,
CNRM-CM6-1-HR,r1i1p1f1,,,,,,,,,,,,,,,,,,,gregorian,
CNRM-CM6-1-HR,r1i1p1f2,0.00,AORCM,,ESD,-,-,ESD,2,2.48,0.02,,0.00,2.48,,4.28,CNRM,,2222101100.00,,
CNRM-ESM2-1,r1i1p1f2,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,0,1.86,0.02,0.75,1.00,1.86,1.81,4.76,CNRM,bc dust oa so4 ss,2222222220.00,gregorian,150.00
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,,1.00,,1.84,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,,1.00,,1.80,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r4i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,1.78,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r5i1p1f2,0.00,Basic,-,-,-,-,-,0,,0.02,,1.00,,1.75,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r6i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,
CNRM-ESM2-1,r7i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,
CNRM-ESM2-1,r8i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,
CNRM-ESM2-1,r9i1p1f2,0.00,Basic,,,-,,,0,,,,1.00,,,,,,,,
